# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.311792410910129547e-02 1.845044344663619995e-01 3.144668042659759521e-01 2.076616324484348297e-02 4.872760549187660217e-02 1.202929139137268066e+00 2.311792410910129547e-02 1.845044344663619995e-01 3.144668042659759521e-01 2.076616324484348297e-02 4.872760549187660217e-02 1.202929139137268066e+00
1.000000000000000000e+03 6.908216513693332672e-03 7.926655816845595837e-04 6.194196268916130066e-02 7.484276778995990753e-03 1.076951273716986179e-03 2.399241179227828979e-02 6.908216513693332672e-03 7.926655816845595837e-04 6.194196268916130066e-02 7.484276778995990753e-03 1.076951273716986179e-03 2.399241179227828979e-02
2.000000000000000000e+03 6.876953411847352982e-03 5.674033309333026409e-04 3.014495782554149628e-02 3.611300140619277954e-03 2.289914700668305159e-04 1.063613034784793854e-02 6.876953411847352982e-03 5.674033309333026409e-04 3.014495782554149628e-02 3.611300140619277954e-03 2.289914700668305159e-04 1.063613034784793854e-02
3.000000000000000000e+03 3.072317922487854958e-03 2.786242694128304720e-04 2.604841999709606171e-02 3.096914617344737053e-03 1.170617470052093267e-04 6.842587143182754517e-03 3.072317922487854958e-03 2.786242694128304720e-04 2.604841999709606171e-02 3.096914617344737053e-03 1.170617470052093267e-04 6.842587143182754517e-03
4.000000000000000000e+03 8.792630396783351898e-04 1.690071658231317997e-04 2.399914152920246124e-02 3.105603391304612160e-03 1.076343760360032320e-04 5.351517349481582642e-03 8.792630396783351898e-04 1.690071658231317997e-04 2.399914152920246124e-02 3.105603391304612160e-03 1.076343760360032320e-04 5.351517349481582642e-03
5.000000000000000000e+03 1.066716155037283897e-03 1.257008261745795608e-04 2.170296758413314819e-02 3.074048552662134171e-03 1.153153280029073358e-04 4.779303446412086487e-03 1.066716155037283897e-03 1.257008261745795608e-04 2.170296758413314819e-02 3.074048552662134171e-03 1.153153280029073358e-04 4.779303446412086487e-03
6.000000000000000000e+03 1.127428491599857807e-03 8.342551154782995582e-05 2.060237526893615723e-02 3.151746233925223351e-03 1.287232880713418126e-04 4.257622174918651581e-03 1.127428491599857807e-03 8.342551154782995582e-05 2.060237526893615723e-02 3.151746233925223351e-03 1.287232880713418126e-04 4.257622174918651581e-03
7.000000000000000000e+03 2.888491842895746231e-03 7.467401155736297369e-05 1.940378919243812561e-02 3.173385513946413994e-03 1.337819121545180678e-04 4.589055199176073074e-03 2.888491842895746231e-03 7.467401155736297369e-05 1.940378919243812561e-02 3.173385513946413994e-03 1.337819121545180678e-04 4.589055199176073074e-03
8.000000000000000000e+03 4.612796008586883545e-03 8.281065674964338541e-05 1.979408971965312958e-02 3.260652534663677216e-03 1.265257888007909060e-04 3.717538202181458473e-03 4.612796008586883545e-03 8.281065674964338541e-05 1.979408971965312958e-02 3.260652534663677216e-03 1.265257888007909060e-04 3.717538202181458473e-03
9.000000000000000000e+03 2.528457436710596085e-03 3.942103285226039588e-05 1.784547045826911926e-02 3.156131133437156677e-03 1.788794470485299826e-04 3.393236314877867699e-03 2.528457436710596085e-03 3.942103285226039588e-05 1.784547045826911926e-02 3.156131133437156677e-03 1.788794470485299826e-04 3.393236314877867699e-03
